,price,sequence,side,size,symbol,time,tradeId,type,time_received,makerOrderId,takerOrderId
0,0.0425,5739865088342017,sell,10,WOD-USDT,11:00:00.000000,5739865088342017,match,11:00:00.0687,,
1,1,5739867934308353,sell,44,WOD-USDT,11:00:07.531000,5739867934308353,match,11:00:07.5780,6746fbb0812d4000071597e9,6746fbb7812d40000715cfbc
2,1,5739867934308356,sell,28.4,WOD-USDT,11:00:07.531000,5739867934308356,match,11:00:07.5781,6746fbb02033a50007a3d45a,6746fbb7812d40000715cfbc
3,1,5739867934308359,sell,49.5,WOD-USDT,11:00:07.531000,5739867934308359,match,11:00:07.5783,6746fbb08b053b0007150fab,6746fbb7812d40000715cfbc
4,1,5739867934308362,sell,32.2,WOD-USDT,11:00:07.531000,5739867934308362,match,11:00:07.5784,6746fbb08b053b0007151218,6746fbb7812d40000715cfbc
5,1,5739867934308365,sell,19.6,WOD-USDT,11:00:07.531000,5739867934308365,match,11:00:07.5784,6746fbb0b38d120007a60905,6746fbb7812d40000715cfbc
6,1,5739868189636609,buy,265.5,WOD-USDT,11:00:08.186000,5739868189636609,match,11:00:08.2373,6746fbb7812d40000715cfbc,6746fbb8ba86a000073ec1a9
7,1,5739871457654785,buy,299.4,WOD-USDT,11:00:15.507000,5739871457654785,match,11:00:15.5583,6746fbb7812d40000715cfbc,6746fbbfba86a000073ec716
8,1,5739871813646337,buy,498.6,WOD-USDT,11:00:16.168000,5739871813646337,match,11:00:16.2166,6746fbb7812d40000715cfbc,6746fbc0b38d120007a68259
9,1,5739871938820097,buy,250,WOD-USDT,11:00:16.498000,5739871938820097,match,11:00:16.5461,6746fbb7812d40000715cfbc,6746fbc033b8f300078d28c2
10,1,5739872002390017,buy,30.1,WOD-USDT,11:00:16.667000,5739872002390017,match,11:00:16.7164,6746fbb7812d40000715cfbc,6746fbc0754b1e0007e33b99
11,1,5739872124942337,buy,250,WOD-USDT,11:00:16.908000,5739872124942337,match,11:00:16.9572,6746fbb7812d40000715cfbc,6746fbc0a69a4c0007826d9a
12,1,5739872242120705,buy,250,WOD-USDT,11:00:17.253000,5739872242120705,match,11:00:17.2986,6746fbb7812d40000715cfbc,6746fbc114a8920007b36a46
13,1,5739872331380737,buy,30.5,WOD-USDT,11:00:17.528000,5739872331380737,match,11:00:17.5776,6746fbb7812d40000715cfbc,6746fbc1439c100007095bec
14,1,5739872480278529,buy,682,WOD-USDT,11:00:17.916000,5739872480278529,match,11:00:17.9665,6746fbb7812d40000715cfbc,6746fbc1812d4000071622ee
15,1,5739872689076225,buy,96.2,WOD-USDT,11:00:18.530000,5739872689076225,match,11:00:18.5765,6746fbb7812d40000715cfbc,6746fbc2e21c740007bd9c1b
16,1,5739872741898241,buy,49.9,WOD-USDT,11:00:18.695000,5739872741898241,match,11:00:18.7421,6746fbb7812d40000715cfbc,6746fbc28b053b0007159d0a
17,1,5739872756709377,buy,96.2,WOD-USDT,11:00:18.747000,5739872756709377,match,11:00:18.7966,6746fbb7812d40000715cfbc,6746fbc21adbea0007dbc6f8
18,1,5739872775845889,buy,49.8,WOD-USDT,11:00:18.815000,5739872775845889,match,11:00:18.8646,6746fbb7812d40000715cfbc,6746fbc2b38d120007a694c0
19,1,5739872843479043,buy,49.8,WOD-USDT,11:00:18.967000,5739872843479043,match,11:00:19.0161,6746fbb7812d40000715cfbc,6746fbc2812d400007162a16
20,1,5739873269594113,buy,250,WOD-USDT,11:00:20.233000,5739873269594113,match,11:00:20.2822,6746fbb7812d40000715cfbc,6746fbc4f61fa00007956331
21,1,5739873798731777,buy,10,WOD-USDT,11:00:21.608000,5739873798731777,match,11:00:21.6596,6746fbb7812d40000715cfbc,6746fbc514a8920007b38835
22,1,5739873829664769,buy,250,WOD-USDT,11:00:21.680000,5739873829664769,match,11:00:21.7298,6746fbb7812d40000715cfbc,6746fbc58b053b000715b181
23,1,5739874013952001,buy,50,WOD-USDT,11:00:22.131000,5739874013952001,match,11:00:22.1814,6746fbb7812d40000715cfbc,6746fbc68b053b000715b4a5
24,1,5739874151708673,buy,976.8,WOD-USDT,11:00:22.548000,5739874151708673,match,11:00:22.5989,6746fbb7812d40000715cfbc,6746fbc6eaedf50007c78237
25,1,5739874391570433,buy,250,WOD-USDT,11:00:23.138000,5739874391570433,match,11:00:23.1948,6746fbb7812d40000715cfbc,6746fbc7439c1000070981cd
26,1.00001,5739874585688065,buy,24.9,WOD-USDT,11:00:23.719000,5739874585688065,match,11:00:23.7675,6746fbb71adbea0007db6eb9,6746fbc7e21c740007bdbe82
27,1.00001,5739874608625665,buy,3.5,WOD-USDT,11:00:23.793000,5739874608625665,match,11:00:23.8433,6746fbb71adbea0007db6eb9,6746fbc733b8f300078d59bc
28,1.00001,5739874608625668,buy,32.2,WOD-USDT,11:00:23.793000,5739874608625668,match,11:00:23.8434,6746fbb75e5d4c00074eb1cd,6746fbc733b8f300078d59bc
29,1.0083,5739874696312833,buy,19.6,WOD-USDT,11:00:23.970000,5739874696312833,match,11:00:24.0198,6746fbc533b8f300078d4ce0,6746fbc79e4e400007f0c847
30,1.01499,5739874891085827,buy,24.6,WOD-USDT,11:00:24.568000,5739874891085827,match,11:00:24.6143,6746fbc5754b1e0007e35eb4,6746fbc8ef434f0007c06623
31,1.15713,5739875284170753,buy,80.9,WOD-USDT,11:00:25.804000,5739875284170753,match,11:00:25.8523,6746fbc8633e9100075179ca,6746fbc933b8f300078d64f9
32,1.062,5739876323178497,sell,53.6,WOD-USDT,11:00:28.302000,5739876323178497,match,11:00:28.3550,6746fbcb725fc60007332bf8,6746fbcc725fc60007332dcb
33,1.062,5739876323178500,sell,18.5,WOD-USDT,11:00:28.302000,5739876323178500,match,11:00:28.3552,6746fbcce21c740007bddd31,6746fbcc725fc60007332dcb
34,1.062,5739876323178503,sell,28,WOD-USDT,11:00:28.302000,5739876323178503,match,11:00:28.3553,6746fbcc754b1e0007e389b9,6746fbcc725fc60007332dcb
35,1.062,5739876323178506,sell,26.6,WOD-USDT,11:00:28.302000,5739876323178506,match,11:00:28.3553,6746fbcce21c740007bddd3a,6746fbcc725fc60007332dcb
36,1.062,5739876323178509,sell,30.2,WOD-USDT,11:00:28.302000,5739876323178509,match,11:00:28.3553,6746fbcceaedf50007c7a765,6746fbcc725fc60007332dcb
37,1.05798,5739876323178512,sell,472.5,WOD-USDT,11:00:28.302000,5739876323178512,match,11:00:28.3556,6746fbcb725fc60007332931,6746fbcc725fc60007332dcb
38,1.056,5739876323178515,sell,53.9,WOD-USDT,11:00:28.302000,5739876323178515,match,11:00:28.3557,6746fbcb725fc60007332b88,6746fbcc725fc60007332dcb
39,1.054,5739876323178518,sell,54,WOD-USDT,11:00:28.302000,5739876323178518,match,11:00:28.3557,6746fbcb812d400007166572,6746fbcc725fc60007332dcb
40,1.037,5739876323178521,sell,54.9,WOD-USDT,11:00:28.302000,5739876323178521,match,11:00:28.3558,6746fbca33b8f300078d6ff2,6746fbcc725fc60007332dcb
41,1.02719,5739876323178524,sell,48.6,WOD-USDT,11:00:28.302000,5739876323178524,match,11:00:28.3558,6746fbcaf61fa00007959052,6746fbcc725fc60007332dcb
42,1.0242,5739876323178527,sell,24.4,WOD-USDT,11:00:28.302000,5739876323178527,match,11:00:28.4228,6746fbcaf61fa00007958f24,6746fbcc725fc60007332dcb
43,1.01843,5739876323178530,sell,36.6,WOD-USDT,11:00:28.302000,5739876323178530,match,11:00:28.4229,6746fbcab6d5080007dcbaf6,6746fbcc725fc60007332dcb
44,1.01501,5739876323178533,sell,79.9,WOD-USDT,11:00:28.302000,5739876323178533,match,11:00:28.4229,6746fbcb754b1e0007e383b0,6746fbcc725fc60007332dcb
45,1.0092,5739876323178536,sell,99,WOD-USDT,11:00:28.302000,5739876323178536,match,11:00:28.4230,6746fbc91adbea0007dbf076,6746fbcc725fc60007332dcb
46,1.0039,5739876323178539,sell,45.8,WOD-USDT,11:00:28.302000,5739876323178539,match,11:00:28.4230,6746fbcae21c740007bdcbf4,6746fbcc725fc60007332dcb
47,1.0039,5739876323178542,sell,45.8,WOD-USDT,11:00:28.302000,5739876323178542,match,11:00:28.4230,6746fbca439c100007099313,6746fbcc725fc60007332dcb
48,1.0039,5739876323178545,sell,45.8,WOD-USDT,11:00:28.302000,5739876323178545,match,11:00:28.4231,6746fbcadcdd7b000743004b,6746fbcc725fc60007332dcb
49,1,5739876323178548,sell,157.4,WOD-USDT,11:00:28.302000,5739876323178548,match,11:00:28.4231,6746fbc8b26bfb000707c402,6746fbcc725fc60007332dcb
50,1,5739876323178551,sell,28.2,WOD-USDT,11:00:28.302000,5739876323178551,match,11:00:28.4231,6746fbc833b8f300078d5d33,6746fbcc725fc60007332dcb
51,1,5739876323178554,sell,23.1,WOD-USDT,11:00:28.302000,5739876323178554,match,11:00:28.4231,6746fbc8812d400007165131,6746fbcc725fc60007332dcb
52,1,5739876323178557,sell,631.2,WOD-USDT,11:00:28.302000,5739876323178557,match,11:00:28.4232,6746fbc9b6d5080007dcaf7c,6746fbcc725fc60007332dcb
53,1,5739876323178560,sell,717.3,WOD-USDT,11:00:28.302000,5739876323178560,match,11:00:28.4232,6746fbcae21c740007bdd167,6746fbcc725fc60007332dcb
54,1,5739876323178563,sell,20,WOD-USDT,11:00:28.302000,5739876323178563,match,11:00:28.4232,6746fbcbb6d5080007dcc074,6746fbcc725fc60007332dcb
55,0.9995,5739876323178566,sell,918.8,WOD-USDT,11:00:28.302000,5739876323178566,match,11:00:28.4233,6746fbcbba86a000073ecf95,6746fbcc725fc60007332dcb
56,0.95985,5739876323178569,sell,67.7,WOD-USDT,11:00:28.302000,5739876323178569,match,11:00:28.4233,6746fbc1ba86a000073ec8c2,6746fbcc725fc60007332dcb
57,0.9,5739876327634945,buy,58.5,WOD-USDT,11:00:28.316000,5739876327634945,match,11:00:28.4234,6746fbcc725fc60007332dcb,6746fbcc633e910007517cc8
58,0.60952,5739876791629825,sell,20.4,WOD-USDT,11:00:29.581000,5739876791629825,match,11:00:29.6279,6746fbcde21c740007bde3fc,6746fbcd633e910007517d67
59,0.60952,5739876791629828,sell,20.4,WOD-USDT,11:00:29.581000,5739876791629828,match,11:00:29.6279,6746fbcd439c10000709aac5,6746fbcd633e910007517d67
60,0.60952,5739876791629831,sell,17.7,WOD-USDT,11:00:29.581000,5739876791629831,match,11:00:29.6280,6746fbcd812d400007166fe5,6746fbcd633e910007517d67
61,0.7776,5739877601916929,buy,24.4,WOD-USDT,11:00:31.686000,5739877601916929,match,11:00:31.7353,6746fbcfa69a4c000782cb6a,6746fbcf5a555000073a46e3
62,0.7776,5739877601916932,buy,26.6,WOD-USDT,11:00:31.686000,5739877601916932,match,11:00:31.7354,6746fbcfa69a4c000782ccd1,6746fbcf5a555000073a46e3
63,0.7776,5739877601916935,buy,30.2,WOD-USDT,11:00:31.686000,5739877601916935,match,11:00:31.7355,6746fbcfa69a4c000782ccd2,6746fbcf5a555000073a46e3
64,0.77761,5739877601916938,buy,52.9,WOD-USDT,11:00:31.686000,5739877601916938,match,11:00:31.7355,6746fbcfef434f0007c0934c,6746fbcf5a555000073a46e3
