     ,asks                                                                                                            ,bids                                                                                                                ,timestamp     ,time_received
   0 ,[]                                                                                                              ,"[['0.1', '52475'], ['0.05', '659058']]"                                                                            ,1732705200048 ,11:00:00.1382
   1 ,[]                                                                                                              ,"[['0.1', '73465'], ['0.05', '659058']]"                                                                            ,1732705200065 ,11:00:00.1445
   2 ,[]                                                                                                              ,"[['0.15', '6666'], ['0.1', '119949'], ['0.071', '28112.6'], ['0.07', '49000'], ['0.065', '67500']]"                ,1732705200148 ,11:00:00.1847
   3 ,[]                                                                                                              ,"[['0.15', '6666'], ['0.135', '15000'], ['0.11', '20000'], ['0.1', '255332'], ['0.09', '55555']]"                   ,1732705200246 ,11:00:00.2831
   4 ,[]                                                                                                              ,"[['1', '44'], ['0.6', '10'], ['0.15', '6666'], ['0.135', '15000'], ['0.12', '13166']]"                             ,1732705200351 ,11:00:00.3879
   5 ,[]                                                                                                              ,"[['1', '44'], ['0.6', '10'], ['0.15', '6666'], ['0.135', '15000'], ['0.12', '13166']]"                             ,1732705200460 ,11:00:00.4962
   6 ,[]                                                                                                              ,"[['1', '44'], ['0.6', '10'], ['0.15', '6666'], ['0.135', '15000'], ['0.12', '13166']]"                             ,1732705200571 ,11:00:00.6079
   7 ,[]                                                                                                              ,"[['1', '44'], ['0.6', '10'], ['0.15', '6666'], ['0.135', '15000'], ['0.12', '13166']]"                             ,1732705200672 ,11:00:00.7092
   8 ,[]                                                                                                              ,"[['1', '44'], ['0.6', '10'], ['0.15', '6666'], ['0.135', '15000'], ['0.12', '13166']]"                             ,1732705201106 ,11:00:01.1436
   9 ,[]                                                                                                              ,"[['1', '44'], ['0.6', '10'], ['0.15', '6666'], ['0.135', '15000'], ['0.12', '13166']]"                             ,1732705201318 ,11:00:01.3549
  10 ,[]                                                                                                              ,"[['1', '44'], ['0.6', '10'], ['0.15', '6666'], ['0.135', '15000'], ['0.12', '13166']]"                             ,1732705201427 ,11:00:01.4635
  11 ,[]                                                                                                              ,"[['1', '44'], ['0.6', '10'], ['0.15', '6666'], ['0.135', '15000'], ['0.12', '13166']]"                             ,1732705201857 ,11:00:01.9124
  12 ,[]                                                                                                              ,"[['1', '44'], ['0.6', '10'], ['0.15', '6666'], ['0.135', '15000'], ['0.12', '13166']]"                             ,1732705202084 ,11:00:02.1216
  13 ,[]                                                                                                              ,"[['1', '44'], ['0.6', '10'], ['0.15', '6666'], ['0.135', '15000'], ['0.12', '13166']]"                             ,1732705202202 ,11:00:02.2391
  14 ,[]                                                                                                              ,"[['1', '44'], ['0.6', '10'], ['0.15', '6666'], ['0.135', '15000'], ['0.12', '13166']]"                             ,1732705202300 ,11:00:02.3376
  15 ,[]                                                                                                              ,"[['1', '44'], ['0.6', '10'], ['0.15', '6666'], ['0.135', '15000'], ['0.11', '20140']]"                             ,1732705202510 ,11:00:02.5474
  16 ,[]                                                                                                              ,"[['1', '44'], ['0.6', '10'], ['0.15', '6666'], ['0.135', '15000'], ['0.11', '20140']]"                             ,1732705202611 ,11:00:02.6479
  17 ,[]                                                                                                              ,"[['1', '44'], ['0.6', '10'], ['0.15', '6666'], ['0.135', '15000'], ['0.11', '20140']]"                             ,1732705202822 ,11:00:02.8628
