,,0
0,time_received,11:00:00.0579
0,bids_change,"[['0.1', '10495', '5']]"
0,timestamp,11:00:00.010000
1,time_received,11:00:00.0580
1,bids_change,"[['0.1', '31485', '7']]"
1,timestamp,11:00:00.019000
2,time_received,11:00:00.0586
2,bids_change,"[['0.05', '659058', '8']]"
2,timestamp,11:00:00.021000
3,time_received,11:00:00.0628
3,bids_change,"[['0.1', '41980', '9']]"
3,timestamp,11:00:00.025000
4,time_received,11:00:00.0671
4,bids_change,"[['0.1', '52475', '10']]"
4,timestamp,11:00:00.029000
5,time_received,11:00:00.0693
5,bids_change,"[['0.1', '62970', '11']]"
5,timestamp,11:00:00.032000
6,time_received,11:00:00.0694
6,bids_change,"[['0.1', '73465', '12']]"
6,timestamp,11:00:00.032000
7,time_received,11:00:00.0744
7,bids_change,"[['0.1', '83960', '13']]"
7,timestamp,11:00:00.037000
8,time_received,11:00:00.0793
8,bids_change,"[['0.15', '6666', '14']]"
8,timestamp,11:00:00.041000
9,time_received,11:00:00.0804
9,bids_change,"[['0.05', '669058', '15']]"
9,timestamp,11:00:00.042000
10,time_received,11:00:00.1262
10,bids_change,"[['0.06', '8300', '16']]"
10,timestamp,11:00:00.042000
11,time_received,11:00:00.1263
11,bids_change,"[['0.06', '16600', '17']]"
11,timestamp,11:00:00.042000
12,time_received,11:00:00.1264
12,bids_change,"[['0.05', '679058', '18']]"
12,timestamp,11:00:00.042000
13,time_received,11:00:00.1264
13,bids_change,"[['0.05', '689058', '19']]"
13,timestamp,11:00:00.042000
14,time_received,11:00:00.1264
14,bids_change,"[['0.06', '24900', '20']]"
14,timestamp,11:00:00.045000
15,time_received,11:00:00.1265
15,bids_change,"[['0.05', '699058', '21']]"
15,timestamp,11:00:00.045000
16,time_received,11:00:00.1265
16,bids_change,"[['0.06', '33200', '22']]"
16,timestamp,11:00:00.047000
17,time_received,11:00:00.1265
17,bids_change,"[['0.06', '41500', '23']]"
17,timestamp,11:00:00.047000
18,time_received,11:00:00.1266
18,bids_change,"[['0.065', '7500', '24'], ['0.07', '7000', '25']]"
18,timestamp,11:00:00.047000
19,time_received,11:00:00.1266
19,bids_change,"[['0.05', '709058', '26']]"
19,timestamp,11:00:00.047000
20,time_received,11:00:00.1266
20,bids_change,"[['0.1', '94455', '27']]"
20,timestamp,11:00:00.048000
21,time_received,11:00:00.1266
21,bids_change,"[['0.05', '719058', '28']]"
21,timestamp,11:00:00.049000
22,time_received,11:00:00.1267
22,bids_change,"[['0.05', '729058', '29']]"
22,timestamp,11:00:00.049000
23,time_received,11:00:00.1267
23,bids_change,"[['0.05', '739058', '30']]"
23,timestamp,11:00:00.049000
24,time_received,11:00:00.1267
24,bids_change,"[['0.05', '749058', '31']]"
24,timestamp,11:00:00.049000
25,time_received,11:00:00.1267
25,bids_change,"[['0.06', '49800', '32']]"
25,timestamp,11:00:00.049000
26,time_received,11:00:00.1268
26,bids_change,"[['0.06', '58100', '33']]"
26,timestamp,11:00:00.049000
27,time_received,11:00:00.1268
27,bids_change,"[['0.06', '66400', '34']]"
27,timestamp,11:00:00.050000
28,time_received,11:00:00.1268
28,bids_change,"[['0.065', '15000', '35']]"
28,timestamp,11:00:00.050000
29,time_received,11:00:00.1269
29,bids_change,"[['0.07', '14000', '36']]"
29,timestamp,11:00:00.053000
30,time_received,11:00:00.1269
30,bids_change,"[['0.05', '759058', '37']]"
30,timestamp,11:00:00.053000
31,time_received,11:00:00.1269
31,bids_change,"[['0.05', '769058', '38']]"
31,timestamp,11:00:00.053000
32,time_received,11:00:00.1272
32,bids_change,"[['0.06', '82900', '39']]"
32,timestamp,11:00:00.053000
33,time_received,11:00:00.1272
33,bids_change,"[['0.1', '104950', '40']]"
33,timestamp,11:00:00.053000
34,time_received,11:00:00.1273
34,bids_change,"[['0.06', '91200', '41']]"
34,timestamp,11:00:00.057000
35,time_received,11:00:00.1273
35,bids_change,"[['0.065', '22500', '42']]"
35,timestamp,11:00:00.059000
36,time_received,11:00:00.1273
36,bids_change,"[['0.065', '30000', '43']]"
36,timestamp,11:00:00.059000
37,time_received,11:00:00.1273
37,bids_change,"[['0.06', '107700', '44']]"
37,timestamp,11:00:00.060000
38,time_received,11:00:00.1274
38,bids_change,"[['0.06', '124200', '45']]"
38,timestamp,11:00:00.060000
39,time_received,11:00:00.1274
39,bids_change,"[['0.06', '140700', '46']]"
39,timestamp,11:00:00.060000
40,time_received,11:00:00.1274
40,bids_change,"[['0.07', '21000', '47']]"
40,timestamp,11:00:00.069000
41,time_received,11:00:00.1275
41,bids_change,"[['0.05', '779058', '48']]"
41,timestamp,11:00:00.069000
42,time_received,11:00:00.1275
42,bids_change,"[['0.07', '28000', '49']]"
42,timestamp,11:00:00.072000
43,time_received,11:00:00.1276
43,bids_change,"[['0.065', '37500', '50']]"
43,timestamp,11:00:00.080000
44,time_received,11:00:00.1313
44,bids_change,"[['0.065', '45000', '51']]"
44,timestamp,11:00:00.080000
45,time_received,11:00:00.1314
45,bids_change,"[['0.05', '789058', '52']]"
45,timestamp,11:00:00.080000
46,time_received,11:00:00.1314
46,bids_change,"[['0.07', '35000', '53']]"
46,timestamp,11:00:00.080000
47,time_received,11:00:00.1315
47,bids_change,"[['0.06', '157200', '54']]"
47,timestamp,11:00:00.081000
48,time_received,11:00:00.1315
48,bids_change,"[['0.06', '173700', '55']]"
48,timestamp,11:00:00.081000
49,time_received,11:00:00.1315
49,bids_change,"[['0.05', '799058', '56']]"
49,timestamp,11:00:00.086000
50,time_received,11:00:00.1315
50,bids_change,"[['0.05', '809058', '57']]"
50,timestamp,11:00:00.087000
51,time_received,11:00:00.1316
51,bids_change,"[['0.06', '189366.7', '58']]"
51,timestamp,11:00:00.088000
52,time_received,11:00:00.1316
52,bids_change,"[['0.065', '52500', '59']]"
52,timestamp,11:00:00.090000
53,time_received,11:00:00.1316
53,bids_change,"[['0.07', '42000', '60']]"
53,timestamp,11:00:00.090000
54,time_received,11:00:00.1317
54,bids_change,"[['0.06', '205866.7', '61']]"
54,timestamp,11:00:00.091000
55,time_received,11:00:00.1355
55,bids_change,"[['0.06', '222366.7', '62']]"
55,timestamp,11:00:00.091000
56,time_received,11:00:00.1356
56,bids_change,"[['0.065', '60000', '63']]"
56,timestamp,11:00:00.092000
57,time_received,11:00:00.1357
57,bids_change,"[['0.06', '230666.7', '64']]"
57,timestamp,11:00:00.095000
58,time_received,11:00:00.1357
58,bids_change,"[['0.065', '67500', '65']]"
58,timestamp,11:00:00.097000
59,time_received,11:00:00.1357
59,bids_change,"[['0.05', '819058', '66']]"
59,timestamp,11:00:00.097000
60,time_received,11:00:00.1378
60,bids_change,"[['0.05', '829058', '67']]"
60,timestamp,11:00:00.100000
61,time_received,11:00:00.1388
61,bids_change,"[['0.07', '49000', '68']]"
61,timestamp,11:00:00.101000
62,time_received,11:00:00.1419
62,bids_change,"[['0.05', '839058', '69']]"
62,timestamp,11:00:00.104000
63,time_received,11:00:00.1421
63,bids_change,"[['0.06', '238966.7', '70']]"
63,timestamp,11:00:00.104000
64,time_received,11:00:00.1449
64,bids_change,"[['0.071', '14056.3', '71']]"
64,timestamp,11:00:00.107000
65,time_received,11:00:00.1476
65,bids_change,"[['0.071', '28112.6', '72']]"
65,timestamp,11:00:00.110000
66,time_received,11:00:00.1538
66,bids_change,"[['0.05', '849058', '73']]"
66,timestamp,11:00:00.114000
67,time_received,11:00:00.1547
67,bids_change,"[['0.1', '119949', '74']]"
67,timestamp,11:00:00.117000
68,time_received,11:00:00.1556
68,bids_change,"[['0.06', '255466.7', '75']]"
68,timestamp,11:00:00.117000
69,time_received,11:00:00.1578
69,bids_change,"[['0.06', '271966.7', '76']]"
69,timestamp,11:00:00.120000
70,time_received,11:00:00.1896
70,bids_change,"[['0.015', '10000', '77']]"
70,timestamp,11:00:00.151000
71,time_received,11:00:00.1943
71,bids_change,"[['0.1', '139948', '78']]"
71,timestamp,11:00:00.156000
72,time_received,11:00:00.1993
72,bids_change,"[['0.002', '50000', '79']]"
72,timestamp,11:00:00.161000
73,time_received,11:00:00.1995
73,bids_change,"[['0.0002', '50000', '80']]"
73,timestamp,11:00:00.161000
74,time_received,11:00:00.2014
74,bids_change,"[['0.1', '161947', '81']]"
74,timestamp,11:00:00.163000
75,time_received,11:00:00.2077
75,bids_change,"[['0.05', '849178', '82']]"
75,timestamp,11:00:00.169000
76,time_received,11:00:00.2093
76,bids_change,"[['0.01', '500', '83']]"
76,timestamp,11:00:00.171000
77,time_received,11:00:00.2102
77,bids_change,"[['0.00001', '50000', '84']]"
77,timestamp,11:00:00.172000
78,time_received,11:00:00.2156
78,bids_change,"[['0.08', '36100', '85']]"
78,timestamp,11:00:00.177000
79,time_received,11:00:00.2175
79,bids_change,"[['0.1', '179946', '86']]"
79,timestamp,11:00:00.179000
80,time_received,11:00:00.2215
80,bids_change,"[['0.0425', '1500', '87']]"
80,timestamp,11:00:00.183000
81,time_received,11:00:00.2225
81,bids_change,"[['0.005', '40000', '88']]"
81,timestamp,11:00:00.185000
82,time_received,11:00:00.2277
82,bids_change,"[['0', '0', '89']]"
82,timestamp,11:00:00.189000
83,time_received,11:00:00.2326
83,bids_change,"[['0', '0', '91'], ['0.09', '55555', '90']]"
83,timestamp,11:00:00.194000
84,time_received,11:00:00.2330
84,bids_change,"[['0.11', '20000', '92']]"
84,timestamp,11:00:00.195000
85,time_received,11:00:00.2330
85,bids_change,"[['0.1', '201945', '93']]"
85,timestamp,11:00:00.195000
86,time_received,11:00:00.2439
86,bids_change,"[['0.021', '8100', '94']]"
86,timestamp,11:00:00.205000
87,time_received,11:00:00.2439
87,bids_change,"[['0', '0', '95']]"
87,timestamp,11:00:00.206000
88,time_received,11:00:00.2446
88,bids_change,"[['0.1', '217944', '96']]"
88,timestamp,11:00:00.206000
89,time_received,11:00:00.2499
89,bids_change,"[['0', '0', '97']]"
89,timestamp,11:00:00.212000
90,time_received,11:00:00.2514
90,bids_change,"[['0.0001', '50000', '98']]"
90,timestamp,11:00:00.213000
91,time_received,11:00:00.2515
91,bids_change,"[['0.1', '247943', '99']]"
91,timestamp,11:00:00.213000
92,time_received,11:00:00.2517
92,bids_change,"[['0.02', '50000', '100']]"
92,timestamp,11:00:00.214000
93,time_received,11:00:00.2578
93,bids_change,"[['0.00001', '125000', '101']]"
93,timestamp,11:00:00.220000
94,time_received,11:00:00.2685
94,bids_change,"[['0.1', '247973', '102']]"
94,timestamp,11:00:00.230000
95,time_received,11:00:00.2686
95,bids_change,"[['0.04', '75', '103']]"
95,timestamp,11:00:00.230000
96,time_received,11:00:00.2762
96,bids_change,"[['0.1', '255332', '104']]"
96,timestamp,11:00:00.237000
97,time_received,11:00:00.2766
97,bids_change,"[['0.05', '849188', '105']]"
97,timestamp,11:00:00.238000
98,time_received,11:00:00.2818
98,bids_change,"[['0.135', '15000', '106']]"
98,timestamp,11:00:00.243000
99,time_received,11:00:00.2821
99,bids_change,"[['0.025', '500', '107']]"
99,timestamp,11:00:00.244000
100,time_received,11:00:00.2870
100,bids_change,"[['0.001', '100000', '108']]"
100,timestamp,11:00:00.248000
101,time_received,11:00:00.2871
101,bids_change,"[['0.059', '1000', '109']]"
101,timestamp,11:00:00.248000
102,time_received,11:00:00.3080
102,bids_change,"[['0.05', '853188', '110']]"
102,timestamp,11:00:00.269000
103,time_received,11:00:00.3102
103,bids_change,"[['0.05', '853258', '111']]"
103,timestamp,11:00:00.272000
104,time_received,11:00:00.3103
104,bids_change,"[['0.05', '868258', '112']]"
104,timestamp,11:00:00.272000
105,time_received,11:00:00.3140
105,bids_change,"[['0.002', '55000', '113']]"
105,timestamp,11:00:00.276000
106,time_received,11:00:00.3261
106,bids_change,"[['1', '44', '114']]"
